,files,emotion
26,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181750.300_face.png,0
27,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181821.355_face.png,0
28,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183236.765_face.png,0
29,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182555.166_face.png,0
30,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T200533.567_face.png,0
31,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images (41)_face.png,0
32,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183406.658_face.png,0
33,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182733.357_face.png,0
34,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T185322.138_face.png,0
35,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images (60)_face.png,0
36,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T005535.938_face.png,0
37,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T185407.622_face.png,0
38,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-05T231404.989_face.png,0
39,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T203829.618_face.png,0
40,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T004441.833_face.png,0
41,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182756.894_face.png,0
42,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181659.755_face.png,0
43,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T194409.919_face.png,0
44,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181724.408_face.png,0
45,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181729.126_face.png,0
46,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183152.959_face.png,0
47,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T203019.210_face.png,0
48,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183311.641_face.png,0
49,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181840.651_face.png,0
50,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181825.522_face.png,0
51,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181843.153_face.png,0
52,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T000343.233_face.png,0
53,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182719.601_face.png,0
54,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181825.196_face.png,0
55,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T000216.045_face.png,0
56,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181900.362_face.png,0
57,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181820.666_face.png,0
58,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181830.749_face.png,0
59,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183149.326_face.png,0
60,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182757.986_face.png,0
61,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182737.983_face.png,0
62,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181742.556_face.png,0
63,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T202611.177_face.png,0
64,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-05T231433.296_face.png,0
65,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181701.866_face.png,0
66,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/7647334336_e411291bc1_n_face.png,0
67,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T004531.304_face.png,0
68,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183148.842_face.png,0
69,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181730.636_face.png,0
70,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183233.289_face.png,0
71,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-05T231423.965_face.png,0
72,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181803.658_face.png,0
73,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183127.451_face.png,0
74,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182740.392_face.png,0
75,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182509.239_face.png,0
76,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181856.719_face.png,0
77,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T002856.677_face.png,0
78,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181826.100_face.png,0
79,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T003529.496_face.png,0
80,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T192052.185_face.png,0
81,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183153.460_face.png,0
82,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181807.071_face.png,0
83,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183519.273_face.png,0
84,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182443.760_face.png,0
85,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183219.117_face.png,0
86,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/22383309737_937f8e01a6_n_face.png,0
87,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181705.509_face.png,0
88,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181732.773_face.png,0
89,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T003656.961_face.png,0
90,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183255.132_face.png,0
91,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T184525.565_face.png,0
92,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T190137.201_face.png,0
93,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183320.373_face.png,0
94,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181831.387_face.png,0
95,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/36874878713_02535b569d_n_face.png,0
96,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181906.926_face.png,0
97,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T003603.607_face.png,0
98,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182533.082_face.png,0
99,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images (84)_face.png,0
100,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183332.239_face.png,0
101,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T004629.849_face.png,0
102,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181653.197_face.png,0
103,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183228.780_face.png,0
104,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181708.530_face.png,0
105,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T003707.533_face.png,0
106,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181857.332_face.png,0
107,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T184527.991_face.png,0
108,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181704.632_face.png,0
109,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181746.931_face.png,0
110,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T004035.352_face.png,0
111,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181741.615_face.png,0
112,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183206.240_face.png,0
113,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181802.726_face.png,0
114,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T203838.264_face.png,0
115,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182702.649_face.png,0
116,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182624.770_face.png,0
117,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182556.841_face.png,0
118,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181753.429_face.png,0
119,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T004649.092_face.png,0
120,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182543.574_face.png,0
121,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181840.020_face.png,0
122,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images (26)_face.png,0
123,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183616.485_face.png,0
124,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images (48)_face.png,0
125,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-05T231407.586_face.png,0
126,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181726.222_face.png,0
127,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T005614.026_face.png,0
128,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181908.437_face.png,0
129,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181804.973_face.png,0
130,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T202854.886_face.png,0
131,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images (13)_face.png,0
132,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181857.889_face.png,0
133,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T201748.863_face.png,0
134,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/9k_ (6)_face.png,0
135,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181633.532_face.png,0
136,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T001143.056_face.png,0
137,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183229.308_face.png,0
138,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181734.341_face.png,0
139,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181807.704_face.png,0
140,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182720.046_face.png,0
141,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181836.199_face.png,0
142,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181634.777_face.png,0
143,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181758.699_face.png,0
144,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183357.138_face.png,0
145,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181648.986_face.png,0
146,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181713.718_face.png,0
147,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181659.145_face.png,0
148,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182658.978_face.png,0
149,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182730.437_face.png,0
150,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181757.118_face.png,0
151,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T004144.302_face.png,0
152,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183430.585_face.png,0
153,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183618.725_face.png,0
154,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T203336.161_face.png,0
155,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images (93)_face.png,0
156,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182437.748_face.png,0
157,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183437.469_face.png,0
158,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183156.992_face.png,0
159,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182428.828_face.png,0
160,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181801.537_face.png,0
161,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181827.679_face.png,0
162,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181859.123_face.png,0
163,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181817.239_face.png,0
164,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T002151.254_face.png,0
165,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T004011.679_face.png,0
166,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182438.750_face.png,0
167,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181803.049_face.png,0
168,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/2139244489_b6bfc36760_w_face.png,0
169,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181717.054_face.png,0
170,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181837.188_face.png,0
171,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T195253.066_face.png,0
172,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T201809.323_face.png,0
173,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/7745154612_dd4a872e02_n_face.png,0
174,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T193220.183_face.png,0
175,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images (49)_face.png,0
176,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T004138.594_face.png,0
177,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183436.390_face.png,0
178,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183135.494_face.png,0
179,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181844.035_face.png,0
180,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181631.051_face.png,0
181,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183200.321_face.png,0
182,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T184339.596_face.png,0
183,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T002801.779_face.png,0
184,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181627.169_face.png,0
185,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183140.271_face.png,0
186,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181835.245_face.png,0
187,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183516.575_face.png,0
188,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181737.512_face.png,0
189,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T184412.723_face.png,0
190,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181748.464_face.png,0
191,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182512.612_face.png,0
192,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181801.826_face.png,0
193,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181833.034_face.png,0
194,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181733.108_face.png,0
195,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T194324.190_face.png,0
196,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183344.198_face.png,0
197,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182457.182_face.png,0
198,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181718.935_face.png,0
199,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/26094100525_ce993d56f1_n_face.png,0
200,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181708.852_face.png,0
201,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T193830.497_face.png,0
202,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182510.924_face.png,0
203,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181745.000_face.png,0
204,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183144.317_face.png,0
205,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182503.531_face.png,0
206,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T005948.207_face.png,0
207,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T203758.202_face.png,0
208,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T190208.775_face.png,1
209,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T202908.514_face.png,1
210,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images (66)_face.png,1
211,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T185844.478_face.png,1
212,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T190122.061_face.png,1
213,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T185716.545_face.png,1
214,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-05T231259.472_face.png,1
215,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images_face.png,1
216,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T203815.357_face.png,1
217,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T190225.951_face.png,1
218,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T190227.339_face.png,1
219,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T185606.727_face.png,1
220,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T184339.975_face.png,1
221,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T190159.277_face.png,1
222,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-05T231249.367_face.png,1
223,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T190347.130_face.png,1
224,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T185841.606_face.png,1
225,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images (72)_face.png,1
226,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T203743.091_face.png,1
227,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T184236.492_face.png,1
228,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T190207.052_face.png,1
229,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T184240.443_face.png,1
230,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T203329.059_face.png,1
231,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T184434.298_face.png,1
232,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T184434.657_face.png,1
233,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T190147.771_face.png,1
234,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-05T231406.365_face.png,1
235,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T203742.062_face.png,1
236,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T203920.837_face.png,1
237,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T003443.521_face.png,1
238,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images (53)_face.png,1
239,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T190239.144_face.png,1
240,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images (47)_face.png,1
241,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T185520.271_face.png,1
242,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/Z (6)_face.png,1
243,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T190311.251_face.png,1
244,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T185857.451_face.png,1
245,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T184413.502_face.png,1
246,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T190125.270_face.png,1
247,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T203400.651_face.png,1
248,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T184352.422_face.png,1
249,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T190152.956_face.png,1
250,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T184221.481_face.png,1
251,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T190342.750_face.png,1
252,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/fear/images - 2020-11-06T184306.442_face.png,1
